Model,Month,a,b,c,Precision
AW2518Hb,2018/5/1,0,0,1,0.00119407
AW2518Hb,2018/6/1,0,0.24,0.76,0.00236048
AW2518Hb,2018/7/1,0.14,0.6,0.26,0.00390215
AW2518Hb,2018/8/1,0.95,0.05,1.11759e-08,0.00180599
AW2518Hb,2018/9/1,0.99,0,0.00999999,0.00130888
AW2518Hb,2018/10/1,0,0,1,0.00257998
AW2518Hb,2018/11/1,0,0,1,0.00221755
AW2518Hb,2018/12/1,0,0.27,0.73,0.00257763
AW2518Hb,2019/1/1,0.65,0.35,2.98023e-08,0.00320593
AW2518Hb,2019/2/1,0.96,0.04,2.23517e-08,0.004008
AW2518Hb,2019/3/1,0.01,0,0.99,0.000466304
AW2518Hb,2019/4/1,0.08,0.91,0.00999999,0.000901512
AW2518Hb,2019/5/1,0,0,1,0.00127115
AW2518Hb,2019/6/1,0,0.99,0.00999999,0.00149236
AW2518Hb,2019/7/1,0,0,1,0.00155229
AW2518Hb,2019/8/1,0.01,0.24,0.75,0.00218185
AW2518Hb,2019/9/1,0.96,0.04,2.23517e-08,0.00170644
AW2518HFb,2018/5/1,0.16,0.7,0.14,0.0012465
AW2518HFb,2018/6/1,0.99,0,0.00999999,0.000702195
AW2518HFb,2018/7/1,0,0.34,0.66,0.0020598
AW2518HFb,2018/8/1,0.03,0,0.97,0.00239002
AW2518HFb,2018/9/1,0,0.6,0.4,0.00097725
AW2518HFb,2018/10/1,0.3,0.49,0.21,0.00284367
AW2518HFb,2018/11/1,0.18,0,0.82,0.00200088
AW2518HFb,2018/12/1,0,0.99,0.00999999,0.00151039
AW2518HFb,2019/1/1,0.99,0,0.00999999,0.00375139
AW2518HFb,2019/2/1,0,0.99,0.00999999,0.00430393
AW2518HFb,2019/3/1,0.08,0,0.92,0.000578898
AW2518HFb,2019/4/1,0.07,0.32,0.61,0.000927931
AW2518HFb,2019/5/1,0.11,0,0.89,0.00127319
AW2518HFb,2019/6/1,0,0.71,0.29,0.00128327
AW2518HFb,2019/7/1,0.47,0.16,0.37,0.00131939
AW2518HFb,2019/8/1,0.14,0.13,0.73,0.00147681
AW2518HFb,2019/9/1,0.34,0,0.66,0.00100293
AW3418DWb,2018/5/1,0,0.03,0.97,0.0034139
AW3418DWb,2018/6/1,0,0.87,0.13,0.00787511
AW3418DWb,2018/7/1,0,0,1,0.00475672
AW3418DWb,2018/8/1,0.16,0.08,0.76,0.00458921
AW3418DWb,2018/9/1,0.46,0.21,0.33,0.00477145
AW3418DWb,2018/10/1,0.29,0.51,0.2,0.00402194
AW3418DWb,2018/11/1,0.42,0.03,0.55,0.00461955
AW3418DWb,2018/12/1,0,0.35,0.65,0.00462082
AW3418DWb,2019/1/1,0.61,0,0.39,0.00659926
AW3418DWb,2019/2/1,0.01,0.67,0.32,0.006497
AW3418DWb,2019/3/1,0.1,0,0.9,0.00333658
AW3418DWb,2019/4/1,0.07,0,0.93,0.00309277
AW3418DWb,2019/5/1,0,0.79,0.21,0.00241195
AW3418DWb,2019/6/1,0.56,0,0.44,0.00254038
AW3418DWb,2019/7/1,0.4,0.6,0,0.00217249
AW3418DWb,2019/8/1,0.38,0,0.62,0.00251114
AW3418DWb,2019/9/1,0.53,0.17,0.3,0.00228821
AW3418HWb,2018/5/1,0.5,0,0.5,0.00724153
AW3418HWb,2018/6/1,0.4,0.24,0.36,0.00457888
AW3418HWb,2018/7/1,0.36,0.24,0.4,0.00676619
AW3418HWb,2018/8/1,0,0,1,0.00698158
AW3418HWb,2018/9/1,0,0.99,0.00999999,0.00579303
AW3418HWb,2018/10/1,0.4,0.6,0,0.00435049
AW3418HWb,2018/11/1,0.39,0,0.61,0.00593137
AW3418HWb,2018/12/1,0,0.19,0.81,0.00470253
AW3418HWb,2019/1/1,0.32,0.36,0.32,0.00672055
AW3418HWb,2019/2/1,0.5,0,0.5,0.00689338
AW3418HWb,2019/3/1,0,0.24,0.76,0.00277311
AW3418HWb,2019/4/1,0.03,0.6,0.37,0.00289908
AW3418HWb,2019/5/1,0,0.03,0.97,0.00231699
AW3418HWb,2019/6/1,0.06,0.28,0.66,0.00244882
AW3418HWb,2019/7/1,0,0.97,0.03,0.00127556
AW3418HWb,2019/8/1,0.3,0.11,0.59,0.00289412
AW3418HWb,2019/9/1,0.51,0.25,0.24,0.00295648
D3217Ho,2018/5/1,0.12,0.31,0.57,0.00514641
D3217Ho,2018/6/1,0.16,0.51,0.33,0.00565332
D3217Ho,2018/7/1,0,0.73,0.27,0.00617775
D3217Ho,2018/8/1,0.78,0.1,0.12,0.00787003
D3217Ho,2018/9/1,0.91,0,0.09,0.00745979
D3217Ho,2018/10/1,0.53,0.47,2.98023e-08,0.00650465
D3217Ho,2018/11/1,0.61,0.16,0.23,0.00621644
D3217Ho,2018/12/1,0.32,0.11,0.57,0.00899213
