Model,Month,a,b,c,Precision
AW2518Hb,2018/5/1,0,0.46,0.54,0.975475
AW2518Hb,2018/6/1,0.75,0.24,0.01,0.896598
AW2518Hb,2018/7/1,0.14,0.6,0.26,0.872819
AW2518Hb,2018/8/1,0,0.99,0.00999999,0.977268
AW2518Hb,2018/9/1,0,0,1,0.997206
AW2518Hb,2018/10/1,0,0.7,0.3,0.987995
AW2518Hb,2018/11/1,0.37,0.62,0.00999999,0.980632
AW2518Hb,2018/12/1,0.73,0,0.27,0.961685
AW2518Hb,2019/1/1,0.66,0.33,0.00999996,0.989152
AW2518Hb,2019/2/1,0,0.76,0.24,0.969849
AW2518Hb,2019/3/1,0.02,0,0.98,0.986569
AW2518Hb,2019/4/1,0.5,0.48,0.02,0.98083
AW2518Hb,2019/5/1,0,0.46,0.54,0.919645
AW2518Hb,2019/6/1,0,0.99,0.00999999,0.960886
AW2518Hb,2019/7/1,0.08,0.42,0.5,0.941735
AW2518Hb,2019/8/1,0.51,0.48,0.01,0.884118
AW2518Hb,2019/9/1,0.99,0,0.00999999,0.973558
AW2518HFb,2018/5/1,0.63,0,0.37,0.975223
AW2518HFb,2018/6/1,0.84,0.08,0.08,0.901843
AW2518HFb,2018/7/1,0.23,0.1,0.67,0.885214
AW2518HFb,2018/8/1,0,0.99,0.00999999,0.969803
AW2518HFb,2018/9/1,0,0.24,0.76,0.995056
AW2518HFb,2018/10/1,0,0.99,0.00999999,0.984229
AW2518HFb,2018/11/1,0.19,0.35,0.46,0.977936
AW2518HFb,2018/12/1,0,0.78,0.22,0.961196
AW2518HFb,2019/1/1,0.71,0.29,2.98023e-08,0.984598
AW2518HFb,2019/2/1,0.21,0,0.79,0.974661
AW2518HFb,2019/3/1,0,0.25,0.75,0.98895
AW2518HFb,2019/4/1,0.36,0.02,0.62,0.978136
AW2518HFb,2019/5/1,0.03,0.31,0.66,0.941422
AW2518HFb,2019/6/1,0,0.16,0.84,0.966501
AW2518HFb,2019/7/1,0,0.99,0.00999999,0.933367
AW2518HFb,2019/8/1,0.79,0,0.21,0.897986
AW2518HFb,2019/9/1,0,0,1,0.966088
E2016Hb,2018/5/1,0,0,1,0.944234
E2016Hb,2018/6/1,0,0.99,0.00999999,0.647352
E2016Hb,2018/7/1,0.37,0.35,0.28,0.806391
E2016Hb,2018/8/1,0,0,1,0.956531
E2016Hb,2018/9/1,0,0.99,0.00999999,0.964071
E2016Hb,2018/10/1,0.99,0,0.00999999,0.955219
E2016Hb,2018/11/1,0.55,0,0.45,0.927327
E2016Hb,2018/12/1,0.59,0,0.41,0.941978
E2016Hb,2019/1/1,0.99,0,0.00999999,0.976781
E2016Hb,2019/2/1,0.99,0,0.00999999,0.964769
E2016Hb,2019/3/1,0,0,1,0.971693
E2016Hb,2019/4/1,0,0.99,0.00999999,0.976113
E2016Hb,2019/5/1,0,0.68,0.32,0.837774
E2016Hb,2019/6/1,0,0.99,0.00999999,0.93583
E2016Hb,2019/7/1,0.51,0.32,0.17,0.831417
E2016Hb,2019/8/1,0.01,0.43,0.56,0.628582
E2016Hb,2019/9/1,0,0.11,0.89,0.907241
E2016HVf,2018/5/1,0.13,0,0.87,0.962338
E2016HVf,2018/6/1,0.42,0.58,5.96046e-08,0.795146
E2016HVf,2018/7/1,0.96,0.04,2.23517e-08,0.854643
E2016HVf,2018/8/1,0,0.99,0.00999999,0.969546
E2016HVf,2018/9/1,0.99,0,0.00999999,0.982863
E2016HVf,2018/10/1,0,0.51,0.49,0.98367
E2016HVf,2018/11/1,0.7,0.3,0,0.961264
E2016HVf,2018/12/1,0,0.99,0.00999999,0.952793
E2016HVf,2019/1/1,0.99,0,0.00999999,0.971286
E2016HVf,2019/2/1,0,0.99,0.00999999,0.950178
E2016HVf,2019/3/1,0,0,1,0.961774
E2016HVf,2019/4/1,0,0.66,0.34,0.97207
E2016HVf,2019/5/1,0.07,0,0.93,0.869162
E2016HVf,2019/6/1,0,0.99,0.00999999,0.941536
E2016HVf,2019/7/1,0.53,0.47,2.98023e-08,0.872927
E2016HVf,2019/8/1,0.98,0.01,0.00999998,0.708502
E2016HVf,2019/9/1,0,0,1,0.909556
E2216Hf,2018/5/1,0,0,1,0.960663
E2216Hf,2018/6/1,0.5,0.11,0.39,0.705343
E2216Hf,2018/7/1,0.56,0.43,0.00999999,0.830675
E2216Hf,2018/8/1,0.99,0,0.00999999,0.974538
E2216Hf,2018/9/1,0,0,1,0.983169
E2216Hf,2018/10/1,0,0.99,0.00999999,0.964847
E2216Hf,2018/11/1,0.81,0.18,0.00999999,0.950859
E2216Hf,2018/12/1,0,0,1,0.949331
E2216Hf,2019/1/1,0,0.99,0.00999999,0.956299
E2216Hf,2019/2/1,0.99,0,0.00999999,0.958305
E2216Hf,2019/3/1,0,0,1,0.973416
E2216Hf,2019/4/1,0,0,1,0.956831
E2216Hf,2019/5/1,0.61,0,0.39,0.841584
E2216Hf,2019/6/1,0,0.99,0.00999999,0.949804
E2216Hf,2019/7/1,0.99,0,0.00999999,0.832612
E2216Hf,2019/8/1,0,0,1,0.664079
E2216Hf,2019/9/1,0,0.99,0.00999999,0.93243
E2216HVf,2018/5/1,0.99,0,0.00999999,0.963014
E2216HVf,2018/6/1,0.59,0.41,2.98023e-08,0.737737
E2216HVf,2018/7/1,0.94,0.05,0.01,0.798491
E2216HVf,2018/8/1,0,0,1,0.971133
E2216HVf,2018/9/1,0,0.99,0.00999999,0.989833
E2216HVf,2018/10/1,0,0.99,0.00999999,0.958143
E2216HVf,2018/11/1,0.07,0.92,0.00999999,0.935405
E2216HVf,2018/12/1,0.99,0,0.00999999,0.935383
E2216HVf,2019/1/1,0.99,0,0.00999999,0.970896
E2216HVf,2019/2/1,0,0.99,0.00999999,0.928044
E2216HVf,2019/3/1,0,0,1,0.966173
E2216HVf,2019/4/1,0,0.99,0.00999999,0.971685
E2216HVf,2019/5/1,0.59,0,0.41,0.835994
E2216HVf,2019/6/1,0.96,0.04,2.23517e-08,0.943025
E2216HVf,2019/7/1,0,0.42,0.58,0.862448
E2216HVf,2019/8/1,0.07,0.29,0.64,0.650808
E2216HVf,2019/9/1,0,0,1,0.907054
E2316Hf,2018/5/1,0.77,0,0.23,0.980678
E2316Hf,2018/6/1,0,0.27,0.73,0.861096
E2316Hf,2018/7/1,0,0.77,0.23,0.812792
E2316Hf,2018/8/1,0,0,1,0.926028
E2316Hf,2018/9/1,0.72,0.17,0.11,0.995019
E2316Hf,2018/10/1,0.68,0.31,0.00999999,0.986967
E2316Hf,2018/11/1,0,0,1,0.912906
E2316Hf,2018/12/1,0,0.99,0.00999999,0.958597
E2316Hf,2019/1/1,0,0,1,0.983974
E2316Hf,2019/2/1,0,0.99,0.00999999,0.961531
E2316Hf,2019/3/1,0.21,0,0.79,0.985653
E2316Hf,2019/4/1,0,0.99,0.00999999,0.971366
E2316Hf,2019/5/1,0.99,0,0.00999999,0.791664
E2316Hf,2019/6/1,0,0.99,0.00999999,0.95702
E2316Hf,2019/7/1,0,0.46,0.54,0.671045
E2316Hf,2019/8/1,0.59,0.41,2.98023e-08,0.370204
E2316Hf,2019/9/1,0.42,0,0.58,0.866731
E2318Hf,2018/5/1,0.95,0.05,1.11759e-08,0.971868
E2318Hf,2018/6/1,0.17,0.14,0.69,0.864777
E2318Hf,2018/7/1,0.16,0.54,0.3,0.841802
E2318Hf,2018/8/1,0.68,0.31,0.00999999,0.976747
E2318Hf,2018/9/1,0,0,1,0.994363
E2318Hf,2018/10/1,0.99,0,0.00999999,0.974953
E2318Hf,2018/11/1,0,0.99,0.00999999,0.954542
E2318Hf,2018/12/1,0.51,0.02,0.47,0.939127
E2318Hf,2019/1/1,0,0.99,0.00999999,0.971255
E2318Hf,2019/2/1,0.99,0,0.00999999,0.973715
E2318Hf,2019/3/1,0,0,1,0.975199
E2318Hf,2019/4/1,0,0,1,0.937418
E2318Hf,2019/5/1,0,0,1,0.849692
E2318Hf,2019/6/1,0.22,0.77,0.00999999,0.963868
E2318Hf,2019/7/1,0.91,0.08,0.00999998,0.849277
E2318Hf,2019/8/1,0,0.01,0.99,0.71511
E2318Hf,2019/9/1,0,0.99,0.00999999,0.943865
E2417Hb,2018/5/1,0,0,1,0.975538
E2417Hb,2018/6/1,0.17,0.82,0.00999999,0.802488
E2417Hb,2018/7/1,0.99,0,0.00999999,0.816328
E2417Hb,2018/8/1,0,0,1,0.968835
E2417Hb,2018/9/1,0,0.99,0.00999999,0.987361
E2417Hb,2018/10/1,0.99,0,0.00999999,0.96139
E2417Hb,2018/11/1,0,0.99,0.00999999,0.934595
E2417Hb,2018/12/1,0.96,0.04,2.23517e-08,0.926629
E2417Hb,2019/1/1,0.99,0,0.00999999,0.974267
E2417Hb,2019/2/1,0,0.99,0.00999999,0.945988
E2417Hb,2019/3/1,0,0,1,0.976769
E2417Hb,2019/4/1,0,0.99,0.00999999,0.975625
E2417Hb,2019/5/1,0.99,0,0.00999999,0.781505
E2417Hb,2019/6/1,0.96,0.04,2.23517e-08,0.934649
E2417Hb,2019/7/1,0,0.99,0.00999999,0.825855
E2417Hb,2019/8/1,0,0.99,0.00999999,0.609529
E2417Hb,2019/9/1,0,0.99,0.00999999,0.919777
E2418HNb,2018/5/1,0,0.99,0.00999999,0.960172
E2418HNb,2018/6/1,0.08,0,0.92,0.849358
E2418HNb,2018/7/1,0.14,0.11,0.75,0.827397
E2418HNb,2018/8/1,0.26,0.73,0.00999999,0.968702
E2418HNb,2018/9/1,0,0,1,0.986274
E2418HNb,2018/10/1,0.99,0,0.00999999,0.941475
E2418HNb,2018/11/1,0.26,0,0.74,0.937422
E2418HNb,2018/12/1,0.03,0.08,0.89,0.968947
E2418HNb,2019/1/1,0.59,0.41,2.98023e-08,0.982462
E2418HNb,2019/2/1,0.99,0,0.00999999,0.973238
E2418HNb,2019/3/1,0.08,0,0.92,0.973326
E2418HNb,2019/4/1,0,0.32,0.68,0.983891
E2418HNb,2019/5/1,0.99,0,0.00999999,0.790314
E2418HNb,2019/6/1,0.69,0,0.31,0.94358
E2418HNb,2019/7/1,0,0,1,0.843806
E2418HNb,2019/8/1,0,0.69,0.31,0.681152
E2418HNb,2019/9/1,0,0,1,0.945032
P2317Hb,2018/5/1,0.99,0,0.00999999,0.959317
P2317Hb,2018/6/1,0.99,0,0.00999999,0.731433
P2317Hb,2018/7/1,0.62,0.37,0.00999999,0.806613
P2317Hb,2018/8/1,0,0,1,0.957094
P2317Hb,2018/9/1,0,0.99,0.00999999,0.978689
P2317Hb,2018/10/1,0,0,1,0.94329
P2317Hb,2018/11/1,0,0,1,0.933234
P2317Hb,2018/12/1,0.99,0,0.00999999,0.922781
P2317Hb,2019/1/1,0.99,0,0.00999999,0.975009
P2317Hb,2019/2/1,0.96,0.04,2.23517e-08,0.931951
P2317Hb,2019/3/1,0,0,1,0.971416
P2317Hb,2019/4/1,0,0,1,0.968445
P2317Hb,2019/5/1,0,0.4,0.6,0.802786
P2317Hb,2019/6/1,0,0,1,0.941293
P2317Hb,2019/7/1,0.96,0.04,2.23517e-08,0.821826
P2317Hb,2019/8/1,0,0.82,0.18,0.451048
P2317Hb,2019/9/1,0.96,0.04,2.23517e-08,0.923218
P2414Hb,2018/5/1,0,0.76,0.24,0.976916
P2414Hb,2018/6/1,0.53,0.47,2.98023e-08,0.735573
P2414Hb,2018/7/1,0.66,0,0.34,0.787032
P2414Hb,2018/8/1,0.99,0,0.00999999,0.963042
P2414Hb,2018/9/1,0,0,1,0.984757
P2414Hb,2018/10/1,0,0.99,0.00999999,0.944716
P2414Hb,2018/11/1,0.99,0,0.00999999,0.905718
P2414Hb,2018/12/1,0.3,0,0.7,0.892612
P2414Hb,2019/1/1,0.99,0,0.00999999,0.981742
P2414Hb,2019/2/1,0,0.73,0.27,0.937091
P2414Hb,2019/3/1,0,0,1,0.959894
P2414Hb,2019/4/1,0,0.35,0.65,0.972715
P2414Hb,2019/5/1,0,0.36,0.64,0.692175
P2414Hb,2019/6/1,0.99,0,0.00999999,0.925095
P2414Hb,2019/7/1,0,0.99,0.00999999,0.839267
P2414Hb,2019/8/1,0,0.63,0.37,0.525636
P2414Hb,2019/9/1,0,0.99,0.00999999,0.9031
P2415Qb,2018/5/1,0.99,0,0.00999999,0.980279
P2415Qb,2018/6/1,0.09,0.9,0.00999999,0.849952
P2415Qb,2018/7/1,0.53,0.47,2.98023e-08,0.831394
P2415Qb,2018/8/1,0.99,0,0.00999999,0.97155
P2415Qb,2018/9/1,0.08,0.9,0.02,0.994789
P2415Qb,2018/10/1,0.01,0,0.99,0.968133
P2415Qb,2018/11/1,0,0.92,0.08,0.949626
P2415Qb,2018/12/1,0.85,0,0.15,0.935354
P2415Qb,2019/1/1,0.99,0,0.00999999,0.976784
P2415Qb,2019/2/1,0.05,0.28,0.67,0.977739
P2415Qb,2019/3/1,0,0,1,0.974436
P2415Qb,2019/4/1,0.39,0.6,0.00999999,0.975798
P2415Qb,2019/5/1,0.99,0,0.00999999,0.813514
P2415Qb,2019/6/1,0.15,0.02,0.83,0.944822
P2415Qb,2019/7/1,0,0.99,0.00999999,0.848651
P2415Qb,2019/8/1,0.09,0.67,0.24,0.722767
P2415Qb,2019/9/1,0.95,0.05,1.11759e-08,0.928664
P2416Db,2018/5/1,0.18,0,0.82,0.975273
P2416Db,2018/6/1,0.12,0.6,0.28,0.805838
P2416Db,2018/7/1,0.39,0.6,0.00999999,0.828095
P2416Db,2018/8/1,0.99,0,0.00999999,0.958859
P2416Db,2018/9/1,0,0,1,0.993386
P2416Db,2018/10/1,0,0,1,0.968322
P2416Db,2018/11/1,0.99,0,0.00999999,0.964771
P2416Db,2018/12/1,0.65,0,0.35,0.915691
P2416Db,2019/1/1,0,0.99,0.00999999,0.962741
P2416Db,2019/2/1,0,0,1,0.961265
P2416Db,2019/3/1,0,0,1,0.976497
P2416Db,2019/4/1,0.03,0.71,0.26,0.97148
P2416Db,2019/5/1,0,0.59,0.41,0.796676
P2416Db,2019/6/1,0.15,0.27,0.58,0.957745
P2416Db,2019/7/1,0.41,0,0.59,0.837395
P2416Db,2019/8/1,0.9,0.1,2.23517e-08,0.658056
P2416Db,2019/9/1,0,0,1,0.973027
P2417Hb,2018/5/1,0.99,0,0.00999999,0.980605
P2417Hb,2018/6/1,0.99,0,0.00999999,0.760627
P2417Hb,2018/7/1,0.75,0,0.25,0.801744
P2417Hb,2018/8/1,0.91,0,0.09,0.96657
P2417Hb,2018/9/1,0,0.99,0.00999999,0.985792
P2417Hb,2018/10/1,0,0.99,0.00999999,0.962055
P2417Hb,2018/11/1,0.99,0,0.00999999,0.930733
P2417Hb,2018/12/1,0.99,0,0.00999999,0.926332
P2417Hb,2019/1/1,0.99,0,0.00999999,0.97746
P2417Hb,2019/2/1,0,0,1,0.893354
P2417Hb,2019/3/1,0,0,1,0.97858
P2417Hb,2019/4/1,0,0,1,0.957182
P2417Hb,2019/5/1,0,0.99,0.00999999,0.780933
P2417Hb,2019/6/1,0.99,0,0.00999999,0.959367
P2417Hb,2019/7/1,0,0,1,0.774643
P2417Hb,2019/8/1,0.06,0,0.94,0.378229
P2417Hb,2019/9/1,0,0.99,0.00999999,0.916645
P2418Dc,2018/5/1,0.03,0.01,0.96,0.975149
P2418Dc,2018/6/1,0,0.63,0.37,0.910119
P2418Dc,2018/7/1,0.37,0.29,0.34,0.894791
P2418Dc,2018/8/1,0.85,0,0.15,0.976114
P2418Dc,2018/9/1,0,0,1,0.992712
P2418Dc,2018/10/1,0.67,0,0.33,0.977497
P2418Dc,2018/11/1,0.9,0.1,2.23517e-08,0.956847
P2418Dc,2018/12/1,0,0,1,0.905073
P2418Dc,2019/1/1,0,0,1,0.978758
P2418Dc,2019/2/1,0.27,0,0.73,0.978533
P2418Dc,2019/3/1,0,0,1,0.981453
P2418Dc,2019/4/1,0.2,0.79,0.00999999,0.976116
P2418Dc,2019/5/1,0.23,0,0.77,0.791278
P2418Dc,2019/6/1,0,0.6,0.4,0.938674
P2418Dc,2019/7/1,0.15,0.65,0.2,0.896014
P2418Dc,2019/8/1,0.83,0.17,1.49012e-08,0.433609
P2418Dc,2019/9/1,0.09,0.89,0.02,0.945223
P2419Hb,2018/5/1,0.99,0,0.00999999,0.973005
P2419Hb,2018/6/1,0,0,1,0.867087
P2419Hb,2018/7/1,0,0,1,0.897944
P2419Hb,2018/8/1,0.99,0,0.00999999,0.974411
P2419Hb,2018/9/1,0,0,1,0.987771
P2419Hb,2018/10/1,0.33,0,0.67,0.98679
P2419Hb,2018/11/1,0.22,0.77,0.00999999,0.972905
P2419Hb,2018/12/1,0,0.31,0.69,0.955999
P2419Hb,2019/1/1,0.29,0,0.71,0.985815
P2419Hb,2019/2/1,0.99,0,0.00999999,0.967331
P2419Hb,2019/3/1,0.13,0,0.87,0.988912
P2419Hb,2019/4/1,0,0,1,0.972887
P2419Hb,2019/5/1,0.71,0.29,2.98023e-08,0.879372
P2419Hb,2019/6/1,0.96,0.04,2.23517e-08,0.956134
P2419Hb,2019/7/1,0.44,0,0.56,0.866554
P2419Hb,2019/8/1,0,0,1,0.50125
P2419Hb,2019/9/1,0,0.99,0.00999999,0.934802
P2719Ht,2018/5/1,0.99,0,0.00999999,0.973005
P2719Ht,2018/6/1,0,0,1,0.867087
P2719Ht,2018/7/1,0,0,1,0.897944
P2719Ht,2018/8/1,0.99,0,0.00999999,0.974411
P2719Ht,2018/9/1,0,0,1,0.987771
P2719Ht,2018/10/1,0.33,0,0.67,0.98679
P2719Ht,2018/11/1,0.22,0.77,0.00999999,0.97297
