ModelType,a,b,c,Precision
U2913WMt,0,0.26,0.74,0.00856696
U3014t,0.19,0.14,0.67,0.00885429
U3219Qb,0.01,0.11,0.88,0.00257524
U3415Wb,0.22,0.33,0.45,0.00827989
U3417Wb,0.06,0.44,0.5,0.00611388
U3419Wb,0.01,0.04,0.95,0.00270552
U3818DWb,0.04,0.05,0.91,0.0044755
U4919DWb,0,0,1,0.00224127
UP2516Dt,0.21,0.26,0.53,0.00732287
UP2715Kt,0.1,0.1,0.8,0.0100497
UP2716Dt,0,0.23,0.77,0.00622398
UP2718Qt,0.22,0.04,0.74,0.00811726
UP3017t,0.25,0.5,0.25,0.0108418
UP3214Qt,0.39,0.37,0.24,0.0119048
UP3216Qt,0,0.36,0.64,0.00765606
UP3218Kt,0.21,0.39,0.4,0.00601873
